iter	Passed	Remaining
609	6690	4277
610	6701	4266
611	6712	4255
612	6724	4245
613	6736	4235
614	6747	4224
615	6759	4213
616	6771	4203
617	6781	4191
618	6793	4181
619	6804	4170
620	6814	4158
621	6824	4147
622	6833	4135
623	6841	4122
624	6851	4110
625	6861	4099
626	6870	4087
627	6879	4075
628	6888	4063
629	6898	4051
630	6906	4038
631	6916	4027
632	6925	4014
633	6934	4002
634	6942	3990
635	6952	3978
636	6961	3966
637	6970	3955
638	6980	3943
639	6989	3931
640	6997	3919
641	7006	3907
642	7015	3895
643	7025	3883
644	7034	3871
645	7043	3859
646	7052	3847
647	7061	3835
648	7071	3824
649	7080	3812
650	7089	3800
651	7098	3788
652	7106	3776
653	7115	3764
654	7125	3752
655	7134	3741
656	7143	3729
657	7153	3717
658	7162	3706
659	7170	3694
660	7180	3682
661	7188	3670
662	7197	3658
663	7206	3646
664	7215	3634
665	7224	3623
666	7233	3611
667	7242	3599
668	7250	3587
669	7259	3575
670	7269	3564
671	7278	3552
672	7288	3541
673	7296	3529
674	7305	3517
675	7314	3505
676	7323	3494
677	7332	3482
678	7341	3470
679	7350	3458
680	7358	3447
681	7368	3435
682	7377	3424
683	7386	3412
684	7394	3400
685	7403	3388
686	7413	3377
687	7422	3365
688	7430	3353
689	7440	3342
690	7449	3331
691	7457	3319
692	7467	3308
693	7476	3296
694	7485	3284
695	7493	3272
696	7502	3261
697	7511	3249
698	7521	3238
699	7530	3227
700	7539	3215
701	7548	3204
702	7556	3192
703	7565	3181
704	7575	3169
705	7584	3158
706	7593	3146
707	7602	3135
708	7611	3124
709	7621	3112
710	7630	3101
711	7639	3090
712	7648	3078
713	7658	3067
714	7666	3056
715	7676	3044
716	7685	3033
717	7694	3021
718	7702	3010
719	7711	2998
720	7719	2987
721	7728	2975
722	7736	2964
723	7745	2952
724	7755	2941
725	7764	2930
726	7773	2918
727	7782	2907
728	7791	2896
729	7800	2885
730	7809	2873
731	7818	2862
732	7827	2851
733	7836	2839
734	7844	2828
735	7854	2817
736	7864	2806
737	7873	2795
738	7883	2784
739	7891	2772
740	7900	2761
741	7910	2750
742	7919	2739
743	7927	2727
744	7936	2716
745	7946	2705
746	7955	2694
747	7964	2683
748	7973	2672
749	7983	2661
750	7992	2649
751	8001	2638
752	8010	2627
753	8019	2616
754	8028	2605
755	8036	2593
